Number,Range
+14155552671,US-California
+14155552672,US-California
+14155552673,US-California
+447700900001,UK-London
+447700900002,UK-London
+447700900003,UK-London
+33123456789,FR-Paris
+33123456790,FR-Paris
+33123456791,FR-Paris
+4915012345678,DE-Berlin
+4915012345679,DE-Berlin
+4915012345680,DE-Berlin
+966501234567,SA-Riyadh
+966501234568,SA-Riyadh
+966501234569,SA-Riyadh
+971501234567,AE-Dubai
+971501234568,AE-Dubai
+971501234569,AE-Dubai
+201012345678,EG-Cairo
+201012345679,EG-Cairo
+201012345680,EG-Cairo
+919876543210,IN-Mumbai
+919876543211,IN-Mumbai
+919876543212,IN-Mumbai
+85298765432,HK-Central
+85298765433,HK-Central
+85298765434,HK-Central
+8613812345678,CN-Beijing
+8613812345679,CN-Beijing
+8613812345680,CN-Beijing
+818012345678,JP-Tokyo
+818012345679,JP-Tokyo
+818012345680,JP-Tokyo
+821087654321,KR-Seoul
+821087654322,KR-Seoul
+821087654323,KR-Seoul
