Number,Range
+1234567890,US-Mobile
+447911123456,UK-Mobile
+33612345678,FR-Mobile
+4915112345678,DE-Mobile
+966501234567,SA-Mobile
+971501234567,AE-Mobile
+201234567890,EG-Mobile
+919876543210,IN-Mobile
+85212345678,HK-Mobile
+8613812345678,CN-Mobile
+817012345678,JP-Mobile
+821012345678,KR-Mobile
+6511234567,SG-Mobile
+60123456789,MY-Mobile
+6281234567890,ID-Mobile
+6321234567890,PH-Mobile
+84123456789,VN-Mobile
+66812345678,TH-Mobile
+551199887766,BR-Mobile
+5491123456789,AR-Mobile
+5491987654321,AR-Mobile
+972501234567,IL-Mobile
+90532123456,TR-Mobile
+7915123456789,RU-Mobile
+380671234567,UA-Mobile
